ID,Title,Url,Summary,Year,DeveloperName,DeveloperID,GameID,1,Tetris,https://www.igdb.com/games/tetris,"Tetris is a tile-matching puzzle video game. The goal is to place pieces made up of four tiles in a ten-by-twenty well, organizing them into complete rows, which then disappear. The main objective of each round is to clear 25 lines, after which the player moves on to the next round. If the stack reaches the top of the field, the player loses a life, and if all three lives are lost, the game is over.

The game lets the player choose the starting stage and round, as well as one of three background tunes. Difficulty is increased throughout the stages by an increase in speed and the addition of garbage blocks in the well.",1989,Nintendo,70,8197
286,Devil May Cry,https://www.igdb.com/games/devil-may-cry,"Originally intended to be the fourth installment in the Resident Evil series, Devil May Cry is an action-adventure game that introduced a host of new elements to the gaming community. Chief among them is the Stylish Rank, which grades the player's performance in combat. The game is split into Missions, which are individually scored according to various factors, such as Orbs gathered and damage taken. Additionally, Devil May Cry did away with the pre-rendered backgrounds of prior Resident Evil games in order to allow for a dynamic camera system.",2001,Capcom Production Studio 4,663,134
287,Devil May Cry 3: Dante's Awakening,https://www.igdb.com/games/devil-may-cry-3-dante-s-awakening,"Devil May Cry 3: Dante's Awakening is a prequel to the first Devil May Cry. The game plays very differently from its predecessors, as it puts much more emphasis on style rather than simple demon slaying. As such, combat is much more intense and faster than before. An all-new Style system that allows you to select your fighting style has also been incorporated.",2005,Capcom Production Studio 1,660,136
288,Wave Race 64,https://www.igdb.com/games/wave-race-64,"Wave Race 64 is sure to provide some of the most exciting racing you've ever experienced. Feel the pounding and crashing of the waves as you accelerate into straight-aways, whip around the marker buoys and go airborne on the jump ramps. Don't race alone - challenge a friend! Take control in three different modes of play - Championship, Time Trials and Stunt Mode. Nine challenging courses set in exotic locales - race conditions change and the wave action responds to the way both you and your opponents race!",1996,Nintendo EAD,421,3629
289,Company of Heroes,https://www.igdb.com/games/company-of-heroes,Command the company that changed the face of history! Battle your way across Europe as your troops make intuitive use of the terrain and buildings for cover and mount attacks on an equally intelligent enemy. Your Mission. Your Men. Your Decisions.,2006,Relic Entertainment,196,654
290,MULE,https://www.igdb.com/games/mule,"M.U.L.E. is about four hopeful explorers trying to make a fortune on a virgin planet. This is done by producing various goods (Food, Energy, Smithore, Crystite). Each of these goods have their uses: if you don't have enough food, you will have less time during your turn. If you don't have enough energy, your output will be lower. If enough smithore isn't produced, there will be a shortage of M.U.L.E.s. Crystite is the big earner that can make or break your game.

You start the game by selecting your race. Some are easier to play, some harder. There are three levels of difficulty, in the easiest the game only lasts 6 turns, but the real game is 12 turns. Crystite is not available at the easiest level.

Each turn starts with land claim. Each player gets to choose a spot of land for themselves from the map. If two players choose the same spot, the player with less money wins. The map consists of different landscape. River is best for producing food, plains for energy, mountains for smithore. Crystite is hidden and must be first found by taking a land sample to the town.

After the land claim each player takes turns in cultivating their land and do other tasks. They can buy M.U.L.E.s to start production on their land, sabotage other players by buying M.U.L.E.s and letting them loose, try to catch the Wumpus for cash and try to find crystite veins. The time to do these things depends on if the player has enough food. Finally the player goes to the casino and wins a small amount of money, depending on how much time was left.",1983,Ozark Softscape,5125,23895
291,Silent Hill,https://www.igdb.com/games/silent-hill,"Silent Hill is the first installment in the Silent Hill series of psychological survival horror video games. Unlike earlier survival horror games that focused on protagonists with combat training, the main character Harry Mason is an average man. The gameplay consists of combat, exploration, and puzzle-solving. The controller vibration is used to indicate Harry's heartbeat and will vibrate on low health. The player must regularly enter an inventory screen to check Harry's health, use items, and equip different weapons.",1999,Team Silent,10446,480
292,Star Control II,https://www.igdb.com/games/star-control-ii,"Star Control II, the sequel to the original Star Control, is a space adventure game that features role-playing elements alongside a 2D space ship melee combat system. The player assumes the role of The Captain of a single starship wandering a detailed environment of solar systems, gradually gathering information and resources in order to defeat a mysterious and implacable enemy.",1992,Toys for Bob,741,1046
293,Fortnite,https://www.igdb.com/games/fortnite,"Fortnite is the completely free online game where you and your friends fight to be the last one standing in Battle Royale, join forces to make your own Creative games, or catch a live show at Party Royale.",2017,Epic Games,17463,1905
294,Burnout Paradise,https://www.igdb.com/games/burnout-paradise,"Evolve or die. For Paradise, we knew we had to change everything.

Burnout was a killer arcade driving game, but for a new generation of hardware and connected player Burnout had to become something more ambitious.

Closed tracks made way for an expansive, open city, and we seamlessly synced your friends into the action and let you loose on a heap of cool challenges that unsurprisingly rewarded you for driving like a lunatic. Hey, it’s us after all.",2008,Criterion Games,347,620
295,LittleBigPlanet,https://www.igdb.com/games/littlebigplanet,"Welcome to LittleBigPlanet – a world of infinite possibilities, where imagination becomes reality and the powers of creation are firmly in your hands. If you can think of it, you can create it if you can create it, you can share it if you can share it, you can play it – and watch our colorful LittleBigPlanet grow and diversify!

It’s a new kind of game that unleashes the creativity in everyone. Design your own character and play over 50 awesome developer levels packed with dangers to navigate, races to win and puzzles to solve. As you play you will learn the skills to build a world of your own by earning creative tools and collecting hundreds of items. Use these items and tools to shape amazing levels of your own, featuring puzzles, challenges, and enemies of your own design. When you are ready, go online to access the LBP community and Share your creations for everyone to play.

LittleBigPlanet is a world with no limits – a world that’s yours to shape, build and explore.",2008,Media Molecule,746,1058
296,Dungeon Master,https://www.igdb.com/games/dungeon-master,"Dungeon Master established several new standards for role playing and computer games in general. Dungeon Master was a realtime game instead of the traditional turn-based approach that was prevalent until then. Instead of using text-based commands to interact with the environment, players directly manipulated objects and the environment by clicking the mouse in the enlarged first-person view.

Abstract Dungeons and Dragons style experience points and levels were eschewed in favor of a system where the characters' skills were improved directly via using them. It also introduced some novel control methods including the spell casting system, which involved learning sequences of runes which represented the form and function of a spell's effect. For example, a fireball spell was created by mixing the fire symbol with the wing symbol. This kind of attention to detail and focus on the user interface was typical of the game and helped create an often captivating sense of craft and ingenuity. Other factors in immersiveness were the then-revolutionary use of sound effects to indicate when a creature was nearby, and (primitive) dynamic lighting.",1987,FTL Games,1191,3798
297,Diablo III,https://www.igdb.com/games/diablo-iii,"Diablo III is the third installment in Blizzard's franchise. The game, like its predecessors, is a dungeon crawler in which the player fights against hordes of enemies ranging from beasts and undead to actual demons. The game has four acts, two game modes (normal and hardcore) as well as four difficulty levels: Normal, Nightmare, Hell and Inferno. A new addition to Diablo III is the auction house, where items are exchanged for in-game gold or real money, also usable to purchase Blizzard merchandise. The game features a wide array of achievements earned upon meeting certain requirements.",2012,Blizzard Entertainment,51,120
298,Wipeout XL (AKA Wipeout 2097),https://www.igdb.com/games/wipeout-xl,"Wipeout XL is a racing video game. It is the second game released in the Wipeout series by developers Psygnosis, and a year after the original game in the series.",1996,Psygnosis,764,1538
299,Tempest 2000,https://www.igdb.com/games/tempest-2000,"Tempest 2000 is a tube shooter video game. Taking control of the claw-shaped Blaster spacecraft from the original game, the player has to survive and travel across multiple levels until the end in an intergalactic war, battling against a variety of enemies that appear on the playfield.",1994,llamasoft,5260,9791
300,Mario Kart 64,https://www.igdb.com/games/mario-kart-64,"Mario Kart 64 is the second main installment of the Mario Kart series. It is the first game in the series to use three-dimensional graphics, however, the characters and items in this game are still two-dimensional, pre-rendered sprites. The game offers two camera angles and three engine sizes: 50cc, 100cc and 150cc. Each kart has distinctive handling, acceleration and top speed capabilities. Shells that you fire at rival racers, Bananas that make them skid out and Lightning Bolts that make them small and very slow are just a few of the game's unique power-ups.",1996,Nintendo EAD,421,2342
301,Kentucky Route Zero,https://www.igdb.com/games/kentucky-route-zero,"Kentucky Route Zero is a magical realist adventure game about a secret highway in the caves beneath Kentucky, and the mysterious folks who travel it. Gameplay is inspired by point-and-click adventure games (like the classic Monkey Island or King's Quest series, or more recently Telltale's Walking Dead series), but focused on characterization, atmosphere and storytelling rather than clever puzzles or challenges of skill.

The game is developed by Cardboard Computer (Jake Elliott and Tamas Kemenczy). The game's soundtrack features an original electronic score by Ben Babbitt along with a suite of old hymns & bluegrass standards recorded by The Bedquilt Ramblers.",2013,Cardboard Computer,2502,5614
302,Breakout,https://www.igdb.com/games/breakout,The objective of the game is to destroy a multilayered wall of bricks at the top the screen. Upon hitting the bricks with a ball which bounces off of a paddle at the bottom of the screen the bricks are destroyed. If the player misses the ball with his horizontally moveable paddle the ball is lost. After loosing five balls the game is over.,1976,Atari,82,2754
303,PaRappa the Rapper,https://www.igdb.com/games/parappa-the-rapper,"The original music video game.

Help Parappa rap with the best of the master rappers and straight into Sunny's heart.

Guaranteed you'll be singin' and dancin' along with Parappa and his pals to the most fun music mixes.",1996,NanaOn-Sha,2225,6080
304,BioShock Infinite,https://www.igdb.com/games/bioshock-infinite,"BioShock Infinite is the third game in the BioShock series. It is not a direct sequel/prequel to any of the previous BioShock games but takes place in an entirely different setting, although it shares similar features, gameplay and concepts with the previous games. BioShock Infinite features a range of environments that force the player to adapt, with different weapons and strategies for each situation. Interior spaces feature close combat with enemies, but unlike previous games set in Rapture, the setting of Infinite contains open spaces with emphasis on sniping and ranged combat against as many as fifteen enemies at once.",2013,Irrational Games,21,538
305,Return of the Obra Dinn,https://www.igdb.com/games/return-of-the-obra-dinn,"In this 1-bit first-person mystery game, a merchant ship called the Obra Dinn has appeared at a London harbor, years after being declared lost at sea. As an insurance adjuster, the player must examine the ship for clues.",2018,Lucas Pope,1365,9643
306,Marvel Vs Capcom 2: New Age of Heroes,https://www.igdb.com/games/marvel-vs-capcom-2-new-age-of-heroes,"Marvel vs. Capcom 2: New Age of Heroes is a fighting game, developed and published by Capcom. It is the fourth game in the Marvel vs. Capcom series of fighting games. With the fourth installment of this series, Capcom simplified the player controls to make the gameplay more accessible to the wider audience of casual players. The button configuration was trimmed down to 4 main buttons and 2 assist buttons. The game also features a different air-combo system and 3 on 3 tag, compared to the 2 on 2 tag from previous games in the series.",2000,Capcom,37,8247
307,Phantasy Star Online,https://www.igdb.com/games/phantasy-star-online,"Pioneer 2 finally completed it's long voyage to the new home world. But as the ship entered orbit, an enormous explosion shook the entire planet, and all contact with the thousands of people already there was lost. Now, in the first worldwide online console RPG, players from around the globe must unite to discover what has happened. Phantasy Star Online continues in the tradition of one of the most popular series of all time, and becomes a revolutionary and truly global gaming experience in an online, persistent world.",2000,Sonic Team,395,21968
308,Final Fight,https://www.igdb.com/games/final-fight,"Final Fight is a side-scrolling beat-'em-up produced by Capcom. Final Fight can be played by up to two players simultaneously. Before the game begins, the player chooses between the three main characters: Haggar, Cody, and Guy. Each has his own fighting style and attributes. Health gauges are displayed for both player and enemy characters.

The controls for Final Fight consist of an eight-way joystick and two buttons for attacking and jumping respectively. Pressing the attack button repeatedly when attacking an enemy or multiple enemies will cause the player character to perform a combo. The final blow of the combo can be changed to a throw if the player moves the joystick in the opposite direction just before landing it. The player can also perform a jump attack. Pressing the attack and jump buttons simultaneously allows the player to perform a special attack that strikes all surrounding enemies, but will drain a small portion of the player's health.

Enemies can be grabbed simply by walking into one of them. When an enemy is grabbed, the player can perform a grab attack by pressing the attack button or perform a throw by tilting the joystick left or right. A thrown enemy can be tossed at another for additional damage. Items such as weapons, health recovery items, and items awarding extra points can be picked up by standing over one and pressing the attack button. Weapons have limited uses and will disappear if the player is disarmed by an enemy too much or when the player moves to a new area.

Final Fight consists of six stages or ""rounds"", as well as two bonus rounds. Each round takes place in a different section of Metro City such as the Slums and the Subway, with most rounds featuring more than one level. At the end of each round the player will face a boss character unique to that round.",1989,U.S. Gold,227,1655
309,Daytona USA,https://www.igdb.com/games/daytona-usa,"The player is put behind the wheel of a stock car (known as the Hornet), with the choice of three tracks as well as an automatic or manual transmission. The player's objectives are to outrun the competing cars, and complete the race before time runs out.",1993,Sega AM2,830,17245
310,Championship Manager [1992-2003] / Football Manager [2004-Current] (Series),https://www.igdb.com/games/championship-manager,"Championship Manager also known as ""champ man"" started a hugely successful franchise.",1992,,0,15208
311,F-Zero GX,https://www.igdb.com/games/f-zero-gx,"F-Zero GX is the fourth installment in the F-Zero series and the successor to F-Zero X. The game continues the series' difficult, high-speed racing style, retaining the basic gameplay and control system from the Nintendo 64 title. A heavy emphasis is placed on track memorization and reflexes, which aids in completing the title. GX introduces a ""Story Mode"" element, where the player walks in the footsteps of Captain Falcon through nine chapters, completing various missions.",2003,Amusement Vision,1096,3492
312,"Legend of Zelda, The: Twilight Princess",https://www.igdb.com/games/the-legend-of-zelda-twilight-princess,"The Legend of Zelda: Twilight Princess is the last Zelda game for GameCube, it was highly anticipated by many members of the gaming community and was regarded as finally fulfilling the dreams of those who wanted a much more realistic and mature game than the ones before. The art is similar to the naturalistic style of Ocarina of Time, rather than the cel-shaded look of The Wind Waker. The main adventure takes place in several provinces with dungeons and temples. New to this game is the ability for Link to transform into a Wolf when entering the Twilight. As a wolf, Link can use his senses to solve puzzles and get past obstacles, he can also dig holes to find hearts and rupees. Twilight Princess has received universal acclaim from reviewers and journalists, who cited it as the greatest Zelda game of all time.",2006,Nintendo EAD Software Development Group No.3,1366,1036
313,Saturn Bomberman,https://www.igdb.com/games/saturn-bomberman,"Saturn Bomberman is an action video game by Hudson Soft for the Sega Saturn. The twelfth installment in the Bomberman series, it was first released in Japan on 19 July 1996, in North America on 22 August 1997 and in Europe in 1997. It is best known for its multiplayer functionality for up to ten players. Like most Bomberman games, Saturn Bomberman features a battle mode as well as a story mode. Along with them is a master mode in which the player races to finish a series of levels after which the player is given a rank based on time taken. The game also features several new powerups.",1996,Hudson Soft,864,28393
314,Warlords,https://www.igdb.com/games/warlords,"Warlords is an arcade game released by Atari, Inc. in 1980. The game resembles a combination of Breakout and Quadrapong (an early Atari arcade game) in the sense that not only can up to 4 players play the game at the same time, but also the ""forts"" in the four corners of the screen are brick walls that could be broken with a flaming ball. Warlords uses spinner controllers for player control, and came in both an upright 2 player version and a 4 player cocktail version. The upright version uses a black and white monitor, and reflects the game image onto a mirror, with a backdrop of castles, giving the game a 3D feel. The upright version only supports up to two simultaneous players, which move through the levels as a team. The cocktail version is in color, and supports 1-4 players. 3-4 player games are free-for-all's where the game ends as soon as one player wins. 1-2 player games play identical to the upright version.",1980,Atari,82,17251
315,Animal Crossing: New Leaf,https://www.igdb.com/games/animal-crossing-new-leaf,"The charming community-building franchise returns for with Animal Crossing: New Leaf. The Nintendo 3DS entry into this popular franchise introduces a number of options new to Animal Crossing, including the ability to become the head of the village and boost its development, a way to install certain items in the village to make its characteristics more personalized for each player, and the ability to view homes of other players who are tagged through StreetPass connections.",2012,Nintendo EAD Software Development Group No.2,1246,2687
316,Alone in the Dark,https://www.igdb.com/games/alone-in-the-dark,"A suspicious suicide. A chilling curse. A malevolent power. Finally, a wicked dark secret. This is Derceto, a legendary Louisiana mansion where, against your better judgment, you're drawn into a world of shadows to explore the darker side of Jeremy Hartwood's imagination.

Despite a paralyzing sense of personal danger, your quest for truth drives you to investigate the old house. But, you didn't know that, by entering Derceto, you'll be plunged into the daily nightmare that was Jeremy Hartwood's life. You weren't prepared for the torturous howls that resound from deep within its halls. You didn’t foresee the shadowy corridors that seemingly have no end. You couldn't anticipate the brooding, gloom-filled rooms, the pervasive weight of dread, the heavy sense of evil that gills the atmosphere and the very house itself.

Had you known, you might have refused this task. But alas, you accepted, and now you must make your way through this spine-tingling adventure alone... and in the dark.",1992,Infogrames,213,1956
317,F-Zero,https://www.igdb.com/games/f-zero,"F-Zero is set in the year 2560, when humanity's multiple encounters with alien life forms had resulted in the expansion of Earth's social framework. This led to commercial, technological and cultural interchanges between planets. The multi-billionaires who earned their wealth through intergalactic trade were mainly satisfied with their lifestyles, although most coveted more entertainment in their lives. This resulted in a new entertainment based on the Formula One races to be founded with vehicles that could hover one foot above the track. These Grand Prix races were soon named ""F-Zero"" after a rise in popularity of the races. The game introduced the first set of F-Zero racers: Captain Falcon, Dr. Stewart, Pico, and Samurai Goroh.",1990,Nintendo EAD,421,3490
318,Heroes of Might and Magic III,https://www.igdb.com/games/heroes-of-might-and-magic-iii-the-restoration-of-erathia,"Heroes of Might and Magic III: The Restoration of Erathia is a turn-based strategy game and the third installment of the Heroes of Might and Magic series.

The game's story is first referenced throughout Might and Magic VI: The Mandate of Heaven and takes place before Might and Magic VII: For Blood and Honor. The player can choose to play through six different campaigns telling the story, or play in a scenario against computer or human opponents.",1999,Loki Software,106,364
319,Crash Bandicoot: Warped,https://www.igdb.com/games/crash-bandicoot-warped,"Crash Bandicoot: Warped is the third game in the Crash Bandicoot series and the first to feature Coco as a playable character. The player takes control of Crash and Coco Bandicoot, who must travel back and forward in time and gather 25 crystals before Uka Uka and Doctor Neo Cortex can do so. Much of the game takes place in the Time Twister which acts as the hub area of the game. The Time-Twister is split up into five chambers, each chamber has five buttons that open portals to different levels. The goal in each level is to find and obtain the crystal hidden in the level. Crash Bandicoot: Warped was lauded by critics in many areas, and the game has been considered one of the best video games of all time.",1998,Naughty Dog,401,1187
320,Metal Slug,https://www.igdb.com/games/metal-slug,"Metal Slug is a 1996 run and gun arcade video game originally developed by Nazca Corporation and released by SNK for the Neo Geo MVS. It is the first installment in the eponymous series. Set in 2028, players assume the role of Peregrine Falcon Strike Force soldiers Marco Rossi and Tarma Roving on a fight against the Rebel Army led by Donald Morden and overthrow his coup d'état to prevent a New World Order.",1996,Nazca Corporation,2230,1404
321,Bionic Commando (1987) / Bionic Commando Rearmed (2009),https://www.igdb.com/games/bionic-commando--1,"For two years, your people have struggled against the relentless onslaught of invading forces. With your army reduced to a handful and your artillery depleted, further resistance seems impossible.

But in a hidden underground laboratory, a team of scientists has at least perfected a new kind of fighting machinery: a bionic arm that extends and contracts, providing unheard-of strength and maneuverability. Combined with an arsenal of rapid-fire, armor-piercing, and heat-seeking weaponry, this will put the power of an entire army in the hands of one man... one carefully chosen soldier, who has what it takes to become a new breed of unstoppable commando... a Bionic Commando. And you are that soldier!

Your mission will take you through the heavily-patrolled wilderness surrounding the enemy headquarters, and into the very heart of the fortress itself. Even to the most courageous soldier, it would seem an impossible challenge. But there has never been a soldier like the Bionic Commando!",1987,Capcom,37,9242
322,Ultima,https://www.igdb.com/games/ultima,"Ultima (later titled, Ultima: The First Age of Darkness) is the first game in the Ultima series of role-playing video games created by Richard Garriott. The game was one of the first definitive commercial computer RPGs, and is considered an important and influential turning point for the development of the genre throughout years to come.",1981,Origin Systems,295,7414
323,King's Quest,https://www.igdb.com/games/king-s-quest-quest-for-the-crown,"In King’s Quest: Quest for the Crown, become Sir Graham, bravest of knights. Locate and return to King Edward the three great lost treasures of the Kingdom of Daventry in order to inherit the throne.

Enter a world of adventure from Sierra and Roberta Williams.

The world of King's Quest is a world of high fantasy, perilous quests, and legendary adventure. It is a world where courage triumphs over adversity, and where bravery is royally rewarded.

Roberta Williams' King's Quest I: Quest for the Crown first appeared in 1984, and began a tradition of family computer entertainment unequaled to this day. More people have played King's Quest games than any other adventure series in history.

Now this classic game, rich in delightful characters and puzzling plot twists, returns in a beautiful new version, completely re-drawn and re-animated, with added music and sound. The same entertaining and enchanting game as ever, with a whole new dimension of realism.",1984,Sierra On-Line,32,892
324,"Sims 2, The",https://www.igdb.com/games/the-sims-2,"In The Sims 2, your Sims will be more lifelike, more responsive, and more complex than ever before. You'll be able to control your Sims over their entire lifetimes, taking them from their first steps to their golden years. Guide them through ""Life's Big Moments"" and build their ""Life Score"" with every decision you make. And since every Sim will have its own DNA, their appearance and personality will be passed down through the generations. Life in The Sims 2 will take on a whole different dimension with an entirely new 3-D engine.",2004,Maxis,284,224
325,Mega Man,https://www.igdb.com/games/mega-man,"Experience the game that started it all! Play as cybernetic hero Mega Man as you battle to stop the evil scientist Dr. Wily and his Robot Masters from taking over the world! A classic platformer in every sense of the word, Mega Man features timeless 8-bit graphics, a memorable soundtrack, and balanced but challenging gameplay that combine to create one of the most iconic video games of all time.

Mega Man, known as Rockman in Japan, is a 1987 action-platform video game developed and published by Capcom for the Nintendo Entertainment System (NES). It was directed by Akira Kitamura, with Nobuyuki Matsushima as lead programmer, and is the first game of the Mega Man franchise and the original video game series. Mega Man was produced by a small team specifically for the home console market, a first for Capcom, who previously focused on arcade titles.",1987,Capcom,37,1714
326,MechWarrior 2,https://www.igdb.com/games/mechwarrior-2-31st-century-combat,"You are the genetically engineered Clan Mechwarrior. The Clans are invading the Inner Sphere. Join either the Wolf Clan or the Jade Falcon Clan as they pursue their own agenda against the Inner Sphere and other Clans. Take your advanced Omnimechs into battle against all comers. Win high warrior ratings (by using less mechs or smaller mechs than needed, completing secondary objectives, etc.) and you'll get chance at a promotion trial where you face superior odds in an arena. If you win, you advance in rank. If you are very successfully, you can make it all the way up to Khan, leader of the Clan!

Mechwarrior II was developed in-house by Activision as the successor to their original Mechwarrior. While this time there are no dynamic campaign and mercenary actions, the Clan culture is integrated into the two campaigns. Different clans have different mechs and different rules, even different weapons. You can customize your mechs in order to use less than the ""par"" force in order to get a higher rating. The full 3D environment wasn't pretty as this was before the 3D accelerators made their debut, but it's still better than anything that came before. Let addition of NetMech allowed users to fight each other online. When 3D cards came along, special versions were created to take advantage of 3D texturing. While not QUITE as replayable as Mechwarrior, it's nonetheless a classic.

If you want them now, get the Titanium Edition, which is 3D accelerated.",1995,Activision,66,784
327,OutRun 2 (2003) / OutRun 2006: Coast 2 Coast (2006),https://www.igdb.com/games/outrun-2,"OutRun 2 (アウトラン2?), usually stylized as OutRun2, is a 2003 racing game released by Sega for the arcades. Although this is the first ""official"" sequel to Out Run, it is the fourth title in the OutRun series.",2003,Sega AM2,830,2052
328,"Mind Forever Voyaging, A",https://www.igdb.com/games/a-mind-forever-voyaging,"A Mind Forever Voyaging (AMFV) is a 1985 interactive fiction game, intended as a polemical critique of Ronald Reagan's politics.",1985,Infocom,368,2295
329,Combat,https://www.igdb.com/games/combat,"Combat is an early video game by Atari, Inc. for the Atari 2600. It was based on two earlier black-and-white coin-operated arcade games produced by Atari. Combat had color graphics and numerous gameplay variations. The 27 game modes featured a variety of different combat scenarios, including tanks, biplanes, and jet fighters. The tank games had interesting options such as bouncing munitions (""Tank-Pong"") and invisibility. The biplane and jet games also allowed for variation, such as multiple planes per player and an inventive game with a squadron of planes versus one giant bomber.",1977,Atari,82,16759
330,Final Fantasy VIII,https://www.igdb.com/games/final-fantasy-viii,"Final Fantasy VIII is the eighth main installment in the Final Fantasy series. The gameplay makes a departure from many series standards. While it still uses the Active Time Battle system, it deviates from the series' traditional means of boosting a character's power via leveling, although levels are not completely abandoned as they were in Final Fantasy II. In addition, it does not have a Magic Point-based system for spell-casting. Instead, magic is collected, drawn, and created from items, and is used to power up the characters via the junction system.",1999,Square,250,425
331,Star Wars: Jedi Knight - Dark Forces II,https://www.igdb.com/games/star-wars-jedi-knight-dark-forces-ii,"Whatever path Kyle Katarn chooses will change the face of the galaxy forever.
Star Wars Jedi Knight: Dark Forces II continues the story of Kyle Katarn, a young mercenary that successfully infiltrated the Empire, as he embarks on a quest to discover his past and learn the ways of the Jedi.

In order to protect the galaxy Katarn must confront his father's murderers, led by the Dark Jedi Jerec, and stop them from obtaining the mysterious powers of a ""Valley of the Jedi"", a focal point for Jedi power and a Jedi burial ground. As Katarn embarks on his journey to defeat the Dark Jedi he must also shape his destiny, by choosing to follow either the light side, or the dark side.",1997,LucasArts,10,150
332,Virtua Fighter,https://www.igdb.com/games/virtua-fighter--1,"A classic fighting game by Sega, considered one of the first 3D fighting games.",1993,Sega AM2,830,19734
333,Wizardry: Proving Grounds of the Mad Overlord,https://www.igdb.com/games/wizardry-proving-grounds-of-the-mad-overlord,"The Mad Overlord Trebor was once only power-mad, but went off the deep end after he acquired a magical amulet of immense power, only to have it stolen from him by his nemesis, the evil archmage Werdna. Werdna, not quite sure how to use the amulet properly, accidentally causes an earthquake which creates a ten-level dungeon beneath Trebor's castle. To avoid looking silly, Werdna declares the dungeon to be the new lair for him and his monster hordes. Trebor, not to be outdone, declares the labyrinth his new Proving Grounds where adventurers must prove themselves for membership in his elite honor guard, and incidentally retrieve his amulet in the process.

The first Wizardry was one of the original dungeon-crawling role-playing games, and stands along with Ultima and Might & Magic as one of the defining staples of the genre.

The player generates and control a party of up to six different adventurers, choosing from four races (humans, elves, dwarves, gnomes and hobbits), three alignments (good, neutral and evil), and four basic classes (fighter, priest, mage and thief). These can later evolve into elite classes (bishop: priest with mage spells; samurai: fighter with mage spells; lord: fighter with priest spells, and ninja: fighter with thief abilities) if they meet the necessary level requirements. After outfitting the party with basic weapons and armor, the player sends it into a 3D vector maze-like dungeon to fight monsters in turn-based combat and find treasure.",1981,Sir-tech Software,273,2863
334,Donkey Kong '94,https://www.igdb.com/games/donkey-kong--2,"Donkey Kong is a Game Boy game which starts out with the premise of being a straight remake of the original Donkey Kong arcade game. Although at first it appears to be just a port, the familiar levels from the arcade game are just a prelude to the real platform jumping adventure. There are 96 levels spread out over 12 worlds. These levels are much more complex than the originals, featuring scrolling backgrounds, numerous objects to collect, and enemies to avoid. Along the way, you will encounter several boss style battles with Donkey Kong, as well.",1994,Nintendo EAD,421,1089
335,Tekken 2,https://www.igdb.com/games/tekken-2,"Tekken 2 is the second game in the Tekken series. All of the characters from Tekken returned (with the exception of Jack, who is replaced by Jack-2 in this game). Eight new characters were added to the character roster (including Jack-2). The game features 25 playable characters. Released in arcades in 1995, and was released for the PlayStation in 1996 worldwide. Aside from winning rave reviews from the critics, it was the number one arcade game in America for 24 straight weeks and sold 3,000,000 copies worldwide on the PlayStation console. It had opening day sales of 250,000, which was a record at the time.",1995,Namco,263,1243
336,Rogue,https://www.igdb.com/games/rogue,"Rogue is a dungeon crawling video game first developed by Michael Toy and Glenn Wichman around 1980. It was a favorite on college Unix systems in the early to mid-1980s, in part due to the procedural generation of game content.",1980,Artificial Intelligence Design,1349,2872
337,Fallout: New Vegas,https://www.igdb.com/games/fallout-new-vegas,"In this first-person Western RPG, the player takes on the role of Courier 6, barely surviving after being robbed of their cargo, shot and put into a shallow grave by a New Vegas mob boss. The Courier sets out to track down their robbers and retrieve their cargo, and winds up getting tangled in the complex ideological and socioeconomic web of the many factions and settlements of post-nuclear Nevada.",2010,Obsidian Entertainment,47,16
338,"Sentinel, The",https://www.igdb.com/games/the-sentinel,"A surreal and very original game by Geoff Crammond

The game plays out on a 3D landscape with hills and valleys made up of several levels. At the highest vantage point stands The Sentinel, a statue-like being with an energy draining stare, you begin at the lowest. ""Energy"" plays an important role, there's a constant amount in the game world and each object is worth a certain number of units - including you.

The object of each level is to absorb The Sentinel and Hyperspace to the next from his vantage point.

The Sentinel scans further round the landscape every few seconds - if you're caught in his gaze, or rather the square you are standing on can be seen, you'll have about 5 seconds to teleport to another location (or hit a key to teleport to a random location - which will never be higher, and may be lower than your current level) before the Sentinel begins absorbing your energy, when it reaches zero you will be destroyed. To travel a ""robot hull"" must be created on a visible square then teleported to, making sure you absorb your old hull to avoid losing energy. Boulders and trees can also be created, trees to block The Sentinels view and boulders can be stacked to gain higher ground.

There are a few other elements to the game - on later levels there will be other Sentries positioned around the landscape. If only part of you can be seen i.e. not the square you are standing on, a nearby tree can be changed into a ""Meanie"" which will ultimately force you to teleport. There are 9999 levels in the game but the next level number is based on the current level + how much energy you have remaining.",1986,,0,15363
339,Life Is Strange,https://www.igdb.com/games/life-is-strange,"Life is Strange is a five part episodic game that sets out to revolutionize story based choice and consequence games by allowing the player to rewind time and affect the past, present and future.",2015,DON'T NOD,894,7599
340,Freespace 2,https://www.igdb.com/games/freespace-2,"The year is 2367, thirty two years after the Great War. Or at least what YOU thought was the Great War. The seemingly endless tide of Shivan capital ships, bombers and fighters with super advanced technology was nearly overwhelming.As the Terran and Vasudan races finish rebuilding their decimated societies, a disturbance lurks in the not-so-far reaches of the Gamma Draconis system. Your nemesis has arrived... and they are wondering what happened to their scouting party...The game continues on the story from Descent: FreeSpace, once again thrusting the player into the role of a pilot fighting against the mysterious aliens, the Shivans. While defending the human race and its alien Vasudan allies, the player also gets involved in putting down a rebellion of those elements of Vasudan (Hammer of Light) and Human (Neo Terran Front) forces which don't want to cooperate with one another.",1999,Volition,7462,722
